flags,count
00000000,3
00000001,4
00000010,2
00000011,2
00000100,3
00000101,3
00000110,3
00000111,5
00001000,5
00001001,4
00001010,3
00001011,3
00001100,4
00001101,5
00001110,3
00001111,3
00010000,4
00010001,3
00010010,5
00010011,4
00010100,2
00010101,3
00010110,3
00010111,5
00011000,3
00011001,4
00011010,4
00011011,4
00011100,4
00011101,4
00011110,2
00011111,3
00100000,4
00100001,3
00100010,4
00100011,5
00100100,4
00100101,2
00100110,3
00100111,5
00101000,4
00101001,4
00101010,5
00101011,2
00101100,4
00101101,5
00101110,2
00101111,4
00110000,4
00110001,3
00110010,4
00110011,3
00110100,4
00110101,3
00110110,4
00110111,4
00111000,2
00111001,5
00111010,4
00111011,3
00111100,4
00111101,3
00111110,4
00111111,3
01000000,1
01000001,5
01000010,1
01000011,3
01000100,4
01000101,3
01000110,4
01000111,2
01001000,3
01001001,3
01001010,4
01001011,3
01001100,3
01001101,2
01001110,4
01001111,5
01010000,2
01010001,5
01010010,2
01010011,1
01010100,3
01010101,4
01010110,4
01010111,4
01011000,5
01011001,3
01011010,4
01011011,3
01011100,3
01011101,3
01011110,2
01011111,4
01100000,4
01100001,2
01100010,3
01100011,4
01100100,3
01100101,4
01100110,3
01100111,5
01101000,3
01101001,3
01101010,1
01101011,4
01101100,4
01101101,4
01101110,4
01101111,3
01110000,2
01110001,4
01110010,2
01110011,4
01110100,4
01110101,3
01110110,3
01110111,4
01111000,4
01111001,4
01111010,4
01111011,3
01111100,2
01111101,4
01111110,4
01111111,2
10000000,4
10000001,3
10000010,3
10000011,3
10000100,3
10000101,3
10000110,3
10000111,4
10001000,2
10001001,3
10001010,3
10001011,5
10001100,2
10001101,2
10001110,4
10001111,5
10010000,4
10010001,3
10010010,4
10010011,4
10010100,4
10010101,3
10010110,2
10010111,4
10011000,3
10011001,4
10011010,4
10011011,3
10011100,4
10011101,3
10011110,4
10011111,4
10100000,4
10100001,3
10100010,3
10100011,2
10100100,5
10100101,5
10100110,2
10100111,2
10101000,5
10101001,2
10101010,5
10101011,4
10101100,5
10101101,3
10101110,2
10101111,2
10110000,5
10110001,5
10110010,2
10110011,5
10110100,3
10110101,3
10110110,4
10110111,3
10111000,4
10111001,4
10111010,3
10111011,5
10111100,2
10111101,4
10111110,4
10111111,2
11000000,3
11000001,3
11000010,5
11000011,1
11000100,4
11000101,4
11000110,4
11000111,5
11001000,3
11001001,5
11001010,4
11001011,5
11001100,4
11001101,4
11001110,5
11001111,3
11010000,2
11010001,4
11010010,2
11010011,4
11010100,3
11010101,4
11010110,2
11010111,4
11011000,4
11011001,4
11011010,3
11011011,4
11011100,3
11011101,4
11011110,4
11011111,3
11100000,3
11100001,3
11100010,3
11100011,5
11100100,3
11100101,4
11100110,3
11100111,3
11101000,3
11101001,3
11101010,3
11101011,4
11101100,4
11101101,5
11101110,2
11101111,5
11110000,2
11110001,3
11110010,3
11110011,3
11110100,3
11110101,5
11110110,5
11110111,1
11111000,2
11111001,4
11111010,2
11111011,3
11111100,4
11111101,4
11111110,5
11111111,4

